id,ordnungsnummer,klasse,kurzbezeichnung,langbezeichnung,kategorie,synonyme,pumpe,besatzung,gesamtmasse,loeschwasser,hauptaufgabe,din_ref,antrieb,beschreibung,verwendung
hlf-20,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,HLF 20,Hilfeleistungslöschgruppenfahrzeug 20,Hilfeleistungslöschgruppenfahrzeug,HLF 20/16,FPN 10-2000,Gruppe (0/1/8/9),16 t,1600 l,Brandbekämpfung / Technische Hilfeleistung,DIN 14530-27,Straße/Allrad,"LF 20 mit vollständiger Ausstattung zur technischen Hilfeleistung inklusive Rettungssatz. Sehr verbreitetes Erstangriffsfahrzeug.","Erstangriff bei Bränden und Verkehrsunfällen, universelle Hilfeleistung"
rw,50,Rüst- und Gerätewagen,RW,Rüstwagen,Rüstwagen,Rüstwagen,,Trupp (0/1/2/3),16 t,,Technische Hilfeleistung,DIN 14555-3,Allrad,"Fahrzeug für technische Hilfeleistung größeren Umfangs mit Seilwinde, Generator und umfangreichem Gerät. Kern des Rüstzuges.","Schwere technische Hilfeleistung, Verkehrs- und Bauunfälle"
vrw,50,Rüst- und Gerätewagen,VRW,Vorausrüstwagen,Rüstwagen,Vorausrüstwagen,,Trupp (0/1/2/3),"ca. 5,5 t",,Technische Hilfeleistung,nicht genormt,Straße,"Kleines, schnelles Fahrzeug mit Rettungssatz und Erstausstattung, das vor den schweren Fahrzeugen eintrifft.","Schneller Erstangriff bei technischer Hilfeleistung"
gw-g,50,Rüst- und Gerätewagen,GW-G,Gerätewagen Gefahrgut,Gerätewagen,Gerätewagen Gefahrgut;GW-Gefahrgut,,Trupp (0/1/1/2 oder 0/1/2/3),16 t,,Gefahrguteinsatz,DIN 14555-12,Straße/Allrad,"Gerätewagen mit spezieller Ausrüstung für Gefahrguteinsätze wie Chemikalienschutzanzügen, Auffang- und Dichtmaterial.","Abwehr chemischer Gefahren, Auffangen und Abdichten von Gefahrstoffen"
gw-l1,50,Rüst- und Gerätewagen,GW-L1,Gerätewagen Logistik 1,Gerätewagen,Gerätewagen Logistik;GW-Logistik 1,,Trupp (0/1/2/3),"7,5 t",,Logistik,DIN 14555-21,Straße,"Leichter Logistikwagen zum Transport von Gerät und Material zur Einsatzstelle, ergänzt um Beladungsmodule.","Einsatzstellenversorgung mit Geräten und Material"
gw-l2,50,Rüst- und Gerätewagen,GW-L2,Gerätewagen Logistik 2,Gerätewagen,Gerätewagen Logistik 2;GW-Logistik 2,,Staffel (0/1/5/6),16 t,,Logistik,DIN 14555-22,Allrad,"Größerer Logistikwagen mit Ladebordwand und Rollcontainern; mit Modul Wasserversorgung Ersatz für den Schlauchwagen 2000.","Nachschub, Materialtransport und Löschwasserversorgung über Module"
gw-mess,50,Rüst- und Gerätewagen,GW-Mess,Gerätewagen Messtechnik,Gerätewagen,Gerätewagen Messtechnik;GW-Messtechnik,,Trupp (0/1/2/3),"ca. 7,5 t",,ABC-Messtechnik,,Straße,"Gerätewagen mit Mess- und Nachweisgeräten zur Erkundung von Schadstoffen in Luft, Wasser und Boden.","Messen und Bewerten von Gefahrstoffausbreitungen im ABC-Einsatz"
sw-1000,60,Schlauchwagen und Wechsellader,SW 1000,Schlauchwagen 1000,Schlauchwagen,Schlauchwagen 1000,,Trupp (0/1/2/3),"ca. 7 t",,Wasserversorgung,ältere Norm,Straße,"Schlauchwagen mit rund 1000 m B-Schlauch zum Aufbau langer Förderstrecken.","Aufbau langer Wasserförderstrecken über Wegstrecke"
sw-2000,60,Schlauchwagen und Wechsellader,SW 2000,Schlauchwagen 2000 mit Truppbesatzung,Schlauchwagen,SW 2000-Tr;Schlauchwagen 2000,PFPN 8-800,Trupp (0/1/2/3),"ca. 11 t",,Wasserversorgung,Katastrophenschutz (BBK),Allrad,"Allrad-Schlauchwagen mit 2000 m B-Schlauch und Tragkraftspritze, vom Bund für den Katastrophenschutz beschafft.","Aufbau langer Förderstrecken, Wasserversorgung über weite Strecken"
wlf,60,Schlauchwagen und Wechsellader,WLF,Wechselladerfahrzeug,Wechselladerfahrzeug,Wechselladerfahrzeug;WLF;Abrollkipper,,Trupp (0/1/1/2),">16 t",,Logistik,DIN 14505,Straße/Allrad,"Trägerfahrzeug für austauschbare Abrollbehälter (z. B. Atemschutz, Gefahrgut, Mulde, Einsatzleitung). Sehr wirtschaftliches Baukastenprinzip.","Transport wechselnder Abrollbehälter je nach Einsatzlage"
fwk,70,Sonstige Feuerwehrfahrzeuge,FwK,Feuerwehrkran,Kranfahrzeug,Feuerwehrkran;Kranwagen,,Trupp (0/1/1/2),">16 t",,Technische Hilfeleistung,nicht genormt,Allrad,"Mobiler Autokran der Feuerwehr zum Heben schwerer Lasten, etwa bei Lkw-Unfällen oder Bauunglücken.","Heben und Bewegen schwerer Lasten bei technischer Hilfeleistung"
gw-hoehenrettung,70,Sonstige Feuerwehrfahrzeuge,GW-Höhenrettung,Gerätewagen Höhenrettung,Gerätewagen,Gerätewagen Höhenrettung;GW-Höhe,,Trupp (0/1/2/3),"ca. 7,5 t",,Rettungstechnik,,Straße,"Gerätewagen mit seiltechnischer Ausrüstung für die Höhenrettungsgruppe zur Rettung aus Höhen und Tiefen.","Rettung aus Höhen und Tiefen über Seiltechnik"
rtw,80,Rettungsdienstfahrzeuge,RTW,Rettungswagen,Rettungsmittel,Rettungswagen,,0/0/2/2,"ca. 5 t",,Notfallrettung,DIN EN 1789,Straße,"Rettungswagen zur notfallmedizinischen Versorgung und zum Transport von Notfallpatienten. Bei vielen Berufsfeuerwehren im Rettungsdienst.","Notfallrettung und qualifizierter Patiententransport"
nef,80,Rettungsdienstfahrzeuge,NEF,Notarzteinsatzfahrzeug,Rettungsmittel,Notarzteinsatzfahrzeug,,0/0/2/2,"ca. 3 t",,Notfallrettung,DIN 75079,Straße,"Schnelles Fahrzeug, das den Notarzt zum Einsatzort bringt (Rendezvous-System) und medizinisches Gerät mitführt.","Zubringer für den Notarzt, notfallmedizinische Ausrüstung"
ktw,80,Rettungsdienstfahrzeuge,KTW,Krankentransportwagen,Rettungsmittel,Krankentransportwagen,,0/0/2/2,"ca. 3,5 t",,Krankentransport,DIN EN 1789,Straße,"Fahrzeug für den Transport nicht akut lebensbedrohlich erkrankter oder verletzter Personen.","Krankentransport und einfache Betreuung von Patienten"
abc-erkkw,90,ABC-Dienst und zur besonderen Verfügung,ABC-ErkKW,ABC-Erkundungskraftwagen,ABC-Fahrzeug,ABC-ErkKW;ABC-Erkunder,,Trupp (0/1/3),"ca. 5 t",,ABC-Erkundung,Katastrophenschutz (Bund),Allrad,"Geländegängiges Fahrzeug mit fest eingebauter Mess- und Spürtechnik zur Erkundung von ABC-Gefahren.","Aufspüren und Messen radiologischer und chemischer Gefahren"
dekon-p,90,ABC-Dienst und zur besonderen Verfügung,Dekon-P,Dekontaminationsfahrzeug Personen,ABC-Fahrzeug,Dekon-P;Dekontamination Personen,,Trupp/Staffel,"ca. 11 t",,Dekontamination,Katastrophenschutz (Bund),Allrad,"Fahrzeug mit Duschzelt und Ausstattung zur Dekontamination von Einsatzkräften und Betroffenen.","Aufbau der Personendekontamination im ABC-Einsatz"
gw-dekon,90,ABC-Dienst und zur besonderen Verfügung,GW-Dekon-G,Gerätewagen Dekontamination Gerät,ABC-Fahrzeug,GW-Dekon;Gerätewagen Dekontamination,,Trupp (0/1/2/3),"ca. 11 t",,Dekontamination,,Allrad,"Gerätewagen zur Dekontamination von Gerät, Fahrzeugen und Material nach einem ABC-Einsatz.","Dekontamination von Gerät und Ausrüstung"
