name,synonyme,kurzzeichen,kategorie,unterkategorie,beschreibung,verwendung,typischer_container,ist_behälter,typische_fahrzeuge,din_ref,einheit_menge,region,quelle_konfidenz
Tauchpumpe TP 4,TP4;Tauchmotorpumpe,TP 4/1,Wasserförderung & Pumpen,Lenzpumpen,Elektrische Tauchpumpe kleiner Leistung nach DIN,Auspumpen von überfluteten Räumen und Behältern,,nein,LF 20;HLF 20;RW;GW-L,DIN 14425,Stück,DE,hoch
Tauchpumpe TP 8,TP8;Tauchmotorpumpe,TP 8/1,Wasserförderung & Pumpen,Lenzpumpen,Elektrische Tauchpumpe mittlerer Leistung nach DIN,Lenzarbeiten mit höherer Förderleistung,,nein,HLF 20;RW;GW-L,DIN 14425,Stück,DE,hoch
Chiemseepumpe,Schmutzwasserpumpe Chiemsee;Chiemsee-Pumpe;Hochwasserpumpe,,Wasserförderung & Pumpen,Lenzpumpen,"Verstopfungsfreie Schmutzwasser-Tauchpumpe mit großem Durchgang, hohe Fördermenge","Hochwasser- und Schmutzwasserlenz mit Feststoffen (nicht mit TP verwechseln)",,nein,GW-L;RW;Hochwasseranhänger,,Stück,DE (bes. Bayern/AT),hoch
Wasserstrahlpumpe,Ejektor;Turbinentauchpumpe,,Wasserförderung & Pumpen,Lenzpumpen,Pumpe ohne bewegte Teile die per Treibwasserstrahl saugt,Lenzen von Wasser mit Schmutz/Schlamm über die Feuerlöschpumpe,,nein,LF 20;HLF 20,,Stück,DE,mittel
Hydraulische Rettungsschere,Rettungsschere;Schere,,Technische Hilfeleistung,Hydraulische Rettung,Hydraulisch betriebene Schere für hohe Schneidkräfte,Durchtrennen von Karosserieteilen zur Personenrettung,Rettungssatz,nein,HLF 20;RW;LF 20,,Stück,DE,hoch
Hydraulischer Spreizer,Rettungsspreizer;Spreizer,,Technische Hilfeleistung,Hydraulische Rettung,Hydraulisches Gerät mit spreizenden Armen,"Aufdrücken von Türen, Spreizen und Ziehen von Bauteilen",Rettungssatz,nein,HLF 20;RW;LF 20,,Stück,DE,hoch
Rettungszylinder,Teleskopzylinder;Rettungszylinder,,Technische Hilfeleistung,Hydraulische Rettung,Hydraulischer Druckzylinder variabler Länge,"Wegdrücken von Fahrzeugteilen, z. B. zwischen A- und B-Säule",Rettungssatz,nein,RW;HLF 20,,Stück,DE,mittel
Kombigerät,Kombiwerkzeug;Combi-Tool,,Technische Hilfeleistung,Hydraulische Rettung,Vereint Schneiden und Spreizen in einem Gerät,Kompakte Rettung wo Schere und Spreizer einzeln fehlen,Rettungssatz,nein,LF 20;MLF;TSF-W,,Stück,DE,mittel
Hydraulikaggregat,Hydraulikpumpe;Motorpumpe;Aggregat,,Technische Hilfeleistung,Hydraulische Rettung,Motor- oder akkubetriebene Pumpe die Hydrauliköl unter Hochdruck fördert,Antrieb der hydraulischen Rettungsgeräte,,nein,HLF 20;RW,,Stück,DE,mittel
Pedalschneider,Pedalschere,,Technische Hilfeleistung,Hydraulische Rettung,Kleine hydraulische/mechanische Schere,Durchtrennen von Pedalen und dünnen Bauteilen im Fußraum,Rettungssatz,nein,RW;HLF 20,,Stück,DE,niedrig
Rettungsplattform,Stab-Pack;Stabfast;Abstützsystem,,Technische Hilfeleistung,Stabilisierung,System aus Stützen und Zurrgurten,Stabilisieren verunfallter Fahrzeuge gegen Wegrollen/Kippen,,ja,RW;HLF 20,,Satz,DE,mittel
Hebekissen,pneumatisches Hebekissen;Hebesack,,Technische Hilfeleistung,Heben & Bewegen,Mit Druckluft füllbares Kissen mit hoher Hubkraft,"Anheben schwerer Lasten, Befreien eingeklemmter Personen",,nein,RW;HLF 20,,Satz,DE,hoch
Mehrzweckzug,Greifzug;Seilzug,,Technische Hilfeleistung,Heben & Bewegen,Handbetriebenes Drahtseil-Zuggerät mit Ratsche,"Ziehen, Heben und Sichern schwerer Lasten",,nein,RW;HLF 20;LF 20,,Stück,DE,mittel
Trennschleifer,Rettungssäge;Winkelschleifer,,Technische Hilfeleistung,Schneiden,Motor- oder akkubetriebenes Gerät mit Trennscheibe,Trennen von Metall und Stein,,nein,RW;HLF 20;LF 20,,Stück,DE,hoch
Motorsäge,Kettensäge,,Technische Hilfeleistung,Schneiden,Motorbetriebene Kettensäge,"Beseitigen von Bäumen und Holzhindernissen, Sturmschäden",,nein,LF 20;HLF 20;RW;GW-L,,Stück,DE,hoch
Säbelsäge,Reciprosäge;Tigersäge,,Technische Hilfeleistung,Schneiden,Elektrische Säge mit hin- und hergehendem Sägeblatt,Trennen von Blech/Holz an schwer zugänglichen Stellen,Werkzeugkoffer,nein,RW;HLF 20,,Stück,DE,mittel
Bolzenschneider,Bolzenschere,,Technische Hilfeleistung,Schneiden,Große Hebelschere für Rundstahl und Ketten,"Durchtrennen von Schlössern, Ketten und Gittern",,nein,LF 20;HLF 20;RW,,Stück,DE,hoch
Brechstange,Kuhfuß;Nageleisen;Brecheisen,,Technische Hilfeleistung,Rüstwerkzeug,Stahlstange mit Klaue und Spitze,"Aufhebeln von Türen, Fenstern und Verkleidungen",,nein,LF 20;HLF 20;RW,,Stück,DE,hoch
Halligan-Tool,Hooligan-Tool;Halligan,,Technische Hilfeleistung,Rüstwerkzeug,"Mehrzweck-Brechwerkzeug mit Klaue, Spitze und Flachkeil",Türen und Zugänge gewaltsam öffnen,,nein,HLF 20;LF 20,,Stück,DE,mittel
Rettungsaxt,Feuerwehraxt;Spalthammer;Nageleisen,,Technische Hilfeleistung,Rüstwerkzeug,Schwere Axt/Hammer zum Öffnen und Zerteilen,"Öffnen von Konstruktionen, Freischlagen von Zugängen",,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Vorschlaghammer,Fäustel;Schlaghammer,,Technische Hilfeleistung,Rüstwerkzeug,Schwerer Hammer mit langem Stiel,Einschlagen und Zertrümmern von Bauteilen,,nein,LF 20;HLF 20;RW,,Stück,DE,hoch
Spaten,Schaufel;Feldspaten,,Technische Hilfeleistung,Rüstwerkzeug,Handwerkzeug zum Graben und Räumen,"Erdarbeiten, Abstreuen und Räumen von Material",,nein,LF 20;HLF 20;GW-L,,Stück,DE,mittel
Unterbaumaterial,Rüstholz;Holzklötze;Keile,,Technische Hilfeleistung,Stabilisierung,Holzklötze und Keile verschiedener Größe,Unterbauen und Stabilisieren von Lasten und Fahrzeugen,Rüstholzkiste,nein,RW;HLF 20,,Satz,DE,mittel
Glassäge,Glasmanagement-Säge,,Technische Hilfeleistung,Glasmanagement,Feine Säge für Verbund-/Sicherheitsglas,Kontrolliertes Entfernen von Fahrzeugscheiben,Glasmanagement-Set,nein,RW;HLF 20,,Stück,DE,mittel
Federkörner,Nothammer;Körner,,Technische Hilfeleistung,Glasmanagement,Federbelasteter Körner zum Zerspringen von ESG,Seitenscheiben (Einscheibensicherheitsglas) gezielt zerstören,Glasmanagement-Set,nein,RW;HLF 20;LF 20,,Stück,DE,mittel
Steckleiter,Steckleiterteil,,Leitern,tragbare Leitern,Aus mehreren Teilen zusammensteckbare Leiter,"Rettung und Zugang bis in mittlere Höhen, auch als Behelfsbrücke",,nein,LF 20;HLF 20;TSF-W;LF 10,DIN EN 1147,4 Teile,DE,hoch
Klappleiter,Multiplicatorleiter (klein),,Leitern,tragbare Leitern,Zusammenklappbare kurze Leiter,Zugang zu Kellern und niedrigen Ebenen in engen Räumen,,nein,LF 20;HLF 20,DIN EN 1147,Stück,DE,mittel
Hakenleiter,Dachleiter,,Leitern,tragbare Leitern,Leiter mit Einhängehaken am oberen Ende,Aufstieg an Fassaden/über Dächer durch Einhängen,,nein,LF 20;DLK;RW,DIN EN 1147,Stück,DE,mittel
Dreiteilige Schiebleiter,Schiebleiter,,Leitern,tragbare Leitern,Mit Seilzug ausziehbare dreiteilige Leiter,Rettung und Zugang bis ca. 3. Obergeschoss,,nein,LF 20;HLF 20,DIN EN 1147,Stück,DE,mittel
Sprungrettungsgerät,Sprungpolster;Sprungkissen,SP 16,Rettung & Absturzsicherung,Sprungrettung,Luftgefülltes Polster als Auffangfläche,Auffangen abspringender Personen aus geringer Höhe,,nein,RW;DLK;GW,DIN 14151,Stück,DE,mittel
Feuerwehrleine,Fangleine;Rettungsleine,FL,Rettung & Absturzsicherung,Leinen,Reißfeste Leine in der Leinenbeutel,"Selbst- und Fremdrettung, Sichern, Halten und Absuchen",Feuerwehrleinenbeutel,nein,LF 20;HLF 20;TLF;TSF-W,DIN 14920,Stück,DE,hoch
Mehrzweckleine,Arbeitsleine,,Rettung & Absturzsicherung,Leinen,Dünne Leine für Arbeits- und Sicherungszwecke,"Gerät hochziehen, Absperren, behelfsmäßiges Sichern",,nein,LF 20;HLF 20,DIN 14920,Stück,DE,mittel
Rettungstuch,Bergetuch,,Rettung & Absturzsicherung,Rettungsmittel,Stabiles Tuch mit Griffen,Tragen und Retten von Personen aus Gefahrenbereichen,,nein,LF 20;HLF 20;RW,DIN 14152,Stück,DE,mittel
Feuerwehr-Haltegurt,Sicherheitsgurt;Feuerwehrgurt,,Rettung & Absturzsicherung,Absturzsicherung,Gurt mit Karabinerhaken (Teil der PSA),Halten und behelfsmäßiges Sichern gegen Absturz,,nein,LF 20;HLF 20;DLK,DIN 14927,Stück,DE,mittel
Auffanggurt,Sitzgurt;Klettergurt,,Rettung & Absturzsicherung,Absturzsicherung,Gurtsystem für Absturzsicherungs-Sätze,Sichern der Einsatzkräfte bei Absturzgefahr,Absturzsicherungssatz,nein,RW;DLK;GW-Höhenrettung,,Stück,DE,mittel
Abseilgerät,Abseilachter;Abseil- und Rettungsgerät,,Rettung & Absturzsicherung,Absturzsicherung,Bremsgerät für kontrolliertes Ablassen an der Leine,Abseilen und Ablassen von Personen,Absturzsicherungssatz,nein,GW-Höhenrettung;RW,,Stück,DE,niedrig
Bandschlingen- und Karabinerset,Karabiner;Bandschlinge,,Rettung & Absturzsicherung,Absturzsicherung,Set aus Karabinern und Bandschlingen,Fixpunkte setzen und Sicherungen aufbauen,Absturzsicherungssatz,nein,RW;GW,,Satz,DE,niedrig
Pressluftatmer,Atemschutzgerät;PA;umluftunabhängiges Atemschutzgerät,PA,Atemschutz,Atemschutzgerät,Umluftunabhängiges Atemschutzgerät mit Druckluftflasche,Atemschutz in Rauch und sauerstoffarmer Umgebung,,nein,LF 20;HLF 20;TLF;RW,DIN EN 137,Stück,DE,hoch
Atemluftflasche,Pressluftflasche;Atemschutzflasche;Stahlflasche,,Atemschutz,Atemschutzgerät,"Druckluftflasche 6/6,8 l für den Pressluftatmer",Luftvorrat für das Atemschutzgerät,,nein,LF 20;HLF 20;TLF;GW-Atemschutz,,Stück,DE,hoch
Atemschutzmaske,Vollmaske;Maske,,Atemschutz,Atemschutzgerät,Vollgesichtsmaske mit Anschluss für Lungenautomat,Dichter Abschluss von Atemwegen und Augen,,nein,LF 20;HLF 20;TLF;RW,DIN EN 136,Stück,DE,hoch
Lungenautomat,LA,LA,Atemschutz,Atemschutzgerät,Ventil das die Atemluft dosiert an die Maske abgibt,Verbindung von Flasche/Regler und Maske,,nein,LF 20;HLF 20;TLF,DIN EN 137,Stück,DE,mittel
Fluchthaube,Selbstretter;Rettungshaube;Brandfluchthaube,,Atemschutz,Selbstrettung,Haube mit Filter/Kurzzeitluft für Notausstieg,Kurzzeitige Selbstrettung oder Rettung Dritter aus Rauch,,nein,HLF 20;RW;ELW,,Stück,DE,mittel
Atemschutzüberwachungstafel,Überwachungstafel;AGT-Tafel,,Atemschutz,Überwachung,Tafel zur Dokumentation eingesetzter Atemschutztrupps,Überwachen von Einsatzzeit und Rückzugsdruck,,nein,LF 20;HLF 20;ELW,,Stück,DE,mittel
Totmannwarner,Bewegungslosmelder;PASS;Totmannmelder,,Atemschutz,Sicherheit,Gerät das bei Bewegungslosigkeit akustisch alarmiert,Auffinden bewusstloser/verschütteter Atemschutzgeräteträger,,nein,LF 20;HLF 20,,Stück,DE,mittel
Feuerwehrhelm,Helm;Einsatzhelm,,PSA / Schutzausrüstung,Kopfschutz,Helm mit Nackenschutz und Visier,"Schutz von Kopf, Gesicht und Nacken",,nein,alle,DIN EN 443,Stück,DE,hoch
Feuerwehrschutzanzug,Einsatzjacke;Überjacke;Überhose,,PSA / Schutzausrüstung,Körperschutz,Flammhemmende Schutzkleidung (Jacke und Hose),"Schutz vor Hitze, Flammen und mechanischer Einwirkung",,nein,alle,DIN EN 469,Satz,DE,hoch
Feuerwehrstiefel,Einsatzstiefel;Sicherheitsstiefel,,PSA / Schutzausrüstung,Fußschutz,Stiefel mit Zehen- und Durchtrittschutz,Fuß- und Knöchelschutz im Einsatz,,nein,alle,DIN EN 15090,Paar,DE,hoch
Feuerwehrhandschuhe,Schutzhandschuhe;Einsatzhandschuhe,,PSA / Schutzausrüstung,Handschutz,Flammhemmende Handschuhe mit Schnittschutz,Schutz der Hände vor Hitze und Verletzung,,nein,alle,DIN EN 659,Paar,DE,hoch
Flammschutzhaube,Nomexhaube;Brandschutzhaube,,PSA / Schutzausrüstung,Kopfschutz,Textile Haube unter dem Helm,Schutz von Hals und Kopfpartie vor Flammen und Hitze,,nein,LF 20;HLF 20;TLF,DIN EN 13911,Stück,DE,mittel
Feuerwehrbeil,Beil;Rettungsbeil,,PSA / Schutzausrüstung,Zusatzausrüstung,Kleines Beil in Schutztasche am Gurt,"Freischlagen, Zertrümmern kleiner Bauteile",,nein,LF 20;HLF 20;DLK,DIN 14924,Stück,DE,mittel
Warnkleidung,Warnweste;Sicherheitsweste,,PSA / Schutzausrüstung,Warnschutz,Hochsichtbare Weste/Jacke mit Reflexstreifen,Sichtbarkeit an Einsatzstellen im Verkehrsraum,Verkehrssicherungskoffer,nein,alle,DIN EN ISO 20471,Stück,DE,hoch
Helmlampe,Helmleuchte;Kopflampe,,PSA / Schutzausrüstung,Zusatzausrüstung,Am Helm befestigte Leuchte,Beleuchtung im Nahbereich mit freien Händen,,nein,LF 20;HLF 20;TLF,,Stück,DE,mittel
Hitzeschutzkleidung,Hitzeschutzanzug;Alukleidung,Form I-III,PSA / Schutzausrüstung,Sonderschutz,Aluminisierter Anzug gegen hohe Wärmestrahlung,Annäherung an sehr heiße Brandherde,Hitzeschutzkoffer,nein,GW;RW;TLF,,Satz,DE,mittel
Chemikalienschutzanzug,CSA;Vollschutzanzug,CSA,PSA / Schutzausrüstung,Sonderschutz,Gasdichter Vollschutzanzug,Schutz vor Chemikalien und Gefahrstoffen (mit PA darunter),Gefahrgutausstattung,nein,GW-G;RW,DIN EN 943,Stück,DE,mittel
Stromerzeuger,Notstromaggregat;Generator;SEA,SEA 5,Beleuchtung & Stromversorgung,Stromversorgung,Motorbetriebener Generator mit 230/400 V Steckdosen,Stromversorgung für Beleuchtung und Elektrogeräte,,nein,LF 20;HLF 20;RW;GW-L,DIN 14685,Stück,DE,hoch
Flutlichtstrahler,Scheinwerfer;Flutlicht;Arbeitsscheinwerfer,,Beleuchtung & Stromversorgung,Beleuchtung,Leistungsstarker Strahler (LED/Halogen) auf Stativ,Großflächige Ausleuchtung der Einsatzstelle,,nein,LF 20;HLF 20;RW;GW-L,,Stück,DE,hoch
Beleuchtungsstativ,Leuchtenstativ;Stativ,,Beleuchtung & Stromversorgung,Beleuchtung,Teleskopstativ zur Aufnahme von Scheinwerfern,Scheinwerfer in Höhe positionieren,,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Lichtmast,Teleskoplichtmast;Lichtgirlande,,Beleuchtung & Stromversorgung,Beleuchtung,Ausfahrbarer beleuchteter Mast am Fahrzeug,Weiträumige Ausleuchtung vom Fahrzeug aus,,nein,RW;GW-L;ELW,,fest eingebaut,DE,mittel
Lichtballon,Powermoon;Beleuchtungsballon,,Beleuchtung & Stromversorgung,Beleuchtung,Aufblasbarer beleuchteter Ballon,Blendfreie Rundum-Ausleuchtung großer Flächen,,nein,RW;GW-L;ELW,,Stück,DE,mittel
Kabeltrommel,Leitungsroller;Verlängerungstrommel,,Beleuchtung & Stromversorgung,Stromversorgung,Trommel mit Gummischlauchleitung und Steckdosen,Stromverteilung über größere Entfernungen,,nein,LF 20;HLF 20;RW;GW-L,DIN 14680,Stück,DE,mittel
Baustromverteiler,Stromverteiler;Verteilerbox,,Beleuchtung & Stromversorgung,Stromversorgung,Mobiler Verteiler mit mehreren abgesicherten Abgängen,Aufteilen der Generatorleistung auf mehrere Geräte,,nein,RW;GW-L,,Stück,DE,mittel
Handscheinwerfer,Handlampe;Handleuchte;Taschenlampe,,Beleuchtung & Stromversorgung,Beleuchtung,Tragbare (ex-geschützte) Akkuleuchte,Beleuchtung im Nahbereich und bei Personensuche,,nein,alle,,Stück,DE,mittel
